LCLid,cluster,Acorn,Acorn_grouped,stdorToU
MAC001403,2,ACORN-F,Comfortable,Std
MAC001404,1,ACORN-E,Affluent,Std
MAC001405,2,ACORN-E,Affluent,ToU
MAC001406,2,ACORN-Q,Adversity,Std
MAC001407,1,ACORN-E,Affluent,ToU
MAC001408,1,ACORN-H,Comfortable,Std
MAC001409,2,ACORN-N,Adversity,Std
MAC001410,2,ACORN-B,Affluent,ToU
MAC001411,1,ACORN-E,Affluent,Std
MAC001412,2,ACORN-E,Affluent,Std
MAC001413,2,ACORN-Q,Adversity,ToU
MAC001414,2,ACORN-E,Affluent,ToU
MAC001415,2,ACORN-K,Adversity,Std
MAC001416,1,ACORN-E,Affluent,Std
MAC001417,2,ACORN-L,Adversity,ToU
MAC001418,2,ACORN-Q,Adversity,Std
MAC001419,2,ACORN-G,Comfortable,Std
MAC001420,2,ACORN-D,Affluent,ToU
MAC001421,2,ACORN-Q,Adversity,ToU
MAC001422,2,ACORN-F,Comfortable,Std
MAC001423,2,ACORN-L,Adversity,Std
MAC001424,2,ACORN-E,Affluent,Std
MAC001425,1,ACORN-D,Affluent,Std
MAC001426,2,ACORN-Q,Adversity,Std
MAC001427,2,ACORN-F,Comfortable,Std
MAC001428,2,ACORN-Q,Adversity,Std
MAC001429,1,ACORN-E,Affluent,ToU
MAC001430,1,ACORN-E,Affluent,Std
MAC001431,2,ACORN-Q,Adversity,ToU
MAC001432,2,ACORN-F,Comfortable,Std
MAC001433,2,ACORN-E,Affluent,Std
MAC001434,2,ACORN-E,Affluent,Std
MAC001435,2,ACORN-N,Adversity,ToU
MAC001436,2,ACORN-E,Affluent,Std
MAC001437,2,ACORN-D,Affluent,ToU
MAC001438,2,ACORN-G,Comfortable,Std
MAC001439,2,ACORN-Q,Adversity,Std
MAC001440,2,ACORN-L,Adversity,ToU
MAC001441,2,ACORN-Q,Adversity,Std
MAC001442,1,ACORN-E,Affluent,Std
MAC001443,1,ACORN-E,Affluent,Std
MAC001444,2,ACORN-H,Comfortable,Std
MAC001445,1,ACORN-E,Affluent,Std
MAC001446,2,ACORN-I,Comfortable,Std
MAC001447,2,ACORN-F,Comfortable,ToU
MAC001448,2,ACORN-B,Affluent,Std
MAC001449,2,ACORN-Q,Adversity,ToU
MAC001450,1,ACORN-F,Comfortable,Std
MAC001451,1,ACORN-E,Affluent,Std
MAC001452,2,ACORN-E,Affluent,Std
MAC001453,2,ACORN-H,Comfortable,Std
MAC001454,2,ACORN-E,Affluent,Std
MAC001455,2,ACORN-Q,Adversity,Std
MAC001456,2,ACORN-M,Adversity,Std
MAC001457,2,ACORN-E,Affluent,Std
MAC001458,2,ACORN-F,Comfortable,Std
MAC001459,2,ACORN-Q,Adversity,Std
MAC001460,2,ACORN-Q,Adversity,Std
MAC001461,1,ACORN-E,Affluent,Std
MAC001462,2,ACORN-H,Comfortable,Std
MAC001463,1,ACORN-F,Comfortable,Std
MAC001464,2,ACORN-L,Adversity,Std
MAC001465,1,ACORN-C,Affluent,Std
MAC001466,2,ACORN-F,Comfortable,ToU
MAC001467,1,ACORN-K,Adversity,Std
MAC001468,2,ACORN-O,Adversity,Std
MAC001469,0,ACORN-E,Affluent,Std
MAC001470,1,ACORN-E,Affluent,ToU
MAC001471,1,ACORN-C,Affluent,ToU
MAC001472,2,ACORN-M,Adversity,Std
MAC001473,2,ACORN-G,Comfortable,Std
MAC001474,2,ACORN-L,Adversity,Std
MAC001475,2,ACORN-E,Affluent,ToU
MAC001476,2,ACORN-M,Adversity,Std
MAC001477,1,ACORN-E,Affluent,ToU
MAC001478,2,ACORN-E,Affluent,Std
MAC001479,0,ACORN-E,Affluent,Std
MAC001480,2,ACORN-N,Adversity,ToU
MAC001481,2,ACORN-F,Comfortable,Std
MAC001482,2,ACORN-E,Affluent,ToU
MAC001483,2,ACORN-Q,Adversity,Std
MAC001484,1,ACORN-N,Adversity,Std
MAC001485,2,ACORN-N,Adversity,Std
MAC001486,1,ACORN-K,Adversity,Std
MAC001487,2,ACORN-E,Affluent,ToU
MAC001488,2,ACORN-C,Affluent,Std
MAC001489,2,ACORN-Q,Adversity,Std
MAC001490,2,ACORN-F,Comfortable,Std
MAC001491,1,ACORN-F,Comfortable,Std
MAC001492,2,ACORN-F,Comfortable,Std
MAC001493,1,ACORN-K,Adversity,Std
MAC001494,2,ACORN-H,Comfortable,Std
MAC001495,0,ACORN-D,Affluent,ToU
MAC001496,2,ACORN-Q,Adversity,Std
MAC001497,2,ACORN-H,Comfortable,Std
MAC001498,2,ACORN-E,Affluent,Std
MAC001499,1,ACORN-E,Affluent,Std
MAC001500,2,ACORN-E,Affluent,Std
MAC001501,2,ACORN-E,Affluent,Std
MAC001502,1,ACORN-D,Affluent,Std
MAC001503,2,ACORN-Q,Adversity,Std
MAC001504,2,ACORN-E,Affluent,Std
MAC001505,2,ACORN-K,Adversity,ToU
MAC001506,1,ACORN-E,Affluent,Std
MAC001507,1,ACORN-H,Comfortable,Std
MAC001508,2,ACORN-F,Comfortable,ToU
MAC001509,2,ACORN-Q,Adversity,ToU
MAC001510,1,ACORN-A,Affluent,Std
MAC001511,2,ACORN-L,Adversity,Std
MAC001512,2,ACORN-L,Adversity,ToU
MAC001513,2,ACORN-E,Affluent,Std
MAC001514,0,ACORN-E,Affluent,Std
MAC001515,2,ACORN-F,Comfortable,Std
MAC001516,1,ACORN-E,Affluent,Std
MAC001517,2,ACORN-E,Affluent,Std
MAC001518,1,ACORN-D,Affluent,Std
MAC001519,2,ACORN-E,Affluent,Std
MAC001520,2,ACORN-L,Adversity,Std
MAC001521,1,ACORN-E,Affluent,Std
MAC001522,1,ACORN-E,Affluent,Std
MAC001523,1,ACORN-F,Comfortable,Std
MAC001524,1,ACORN-N,Adversity,Std
MAC001525,2,ACORN-H,Comfortable,Std
MAC001526,2,ACORN-E,Affluent,Std
MAC001527,2,ACORN-Q,Adversity,Std
MAC001528,1,ACORN-A,Affluent,Std
MAC001529,2,ACORN-E,Affluent,ToU
MAC001530,2,ACORN-O,Adversity,Std
MAC001531,2,ACORN-J,Comfortable,Std
MAC001532,2,ACORN-E,Affluent,Std
MAC001533,2,ACORN-A,Affluent,Std
MAC001534,1,ACORN-E,Affluent,Std
MAC001535,2,ACORN-F,Comfortable,Std
MAC001536,2,ACORN-L,Adversity,ToU
MAC001537,1,ACORN-E,Affluent,Std
MAC001538,1,ACORN-I,Comfortable,ToU
MAC001539,1,ACORN-D,Affluent,Std
MAC001540,2,ACORN-Q,Adversity,Std
MAC001541,1,ACORN-E,Affluent,Std
MAC001542,2,ACORN-F,Comfortable,ToU
MAC001543,2,ACORN-F,Comfortable,Std
MAC001544,1,ACORN-C,Affluent,Std
MAC001545,2,ACORN-Q,Adversity,Std
MAC001546,2,ACORN-Q,Adversity,Std
MAC001547,2,ACORN-E,Affluent,ToU
MAC001548,1,ACORN-F,Comfortable,Std
MAC001549,2,ACORN-Q,Adversity,Std
MAC001550,1,ACORN-M,Adversity,Std
MAC001551,2,ACORN-N,Adversity,Std
MAC001552,2,ACORN-D,Affluent,Std
MAC001553,2,ACORN-C,Affluent,Std
MAC001554,2,ACORN-Q,Adversity,ToU
MAC001555,2,ACORN-N,Adversity,Std
MAC001556,1,ACORN-E,Affluent,ToU
MAC001557,2,ACORN-Q,Adversity,Std
MAC001558,2,ACORN-Q,Adversity,Std
MAC001559,2,ACORN-J,Comfortable,ToU
MAC001560,2,ACORN-Q,Adversity,Std
MAC001561,1,ACORN-D,Affluent,Std
MAC001562,1,ACORN-E,Affluent,Std
MAC001563,1,ACORN-F,Comfortable,Std
MAC001564,1,ACORN-E,Affluent,ToU
MAC001565,2,ACORN-Q,Adversity,Std
MAC001566,2,ACORN-G,Comfortable,ToU
MAC001567,1,ACORN-L,Adversity,Std
MAC001568,2,ACORN-J,Comfortable,Std
MAC001569,1,ACORN-F,Comfortable,Std
MAC001570,1,ACORN-F,Comfortable,Std
MAC001571,0,ACORN-E,Affluent,Std
MAC001572,2,ACORN-E,Affluent,Std
MAC001573,2,ACORN-F,Comfortable,Std
MAC001574,2,ACORN-Q,Adversity,Std
MAC001575,1,ACORN-E,Affluent,Std
MAC001576,0,ACORN-E,Affluent,ToU
MAC001577,2,ACORN-E,Affluent,Std
MAC001578,2,ACORN-K,Adversity,Std
MAC001579,1,ACORN-C,Affluent,Std
MAC001580,1,ACORN-D,Affluent,Std
MAC001581,2,ACORN-K,Adversity,Std
MAC001582,2,ACORN-Q,Adversity,Std
MAC001583,1,ACORN-Q,Adversity,Std
MAC001584,2,ACORN-D,Affluent,Std
MAC001585,2,ACORN-G,Comfortable,Std
MAC001586,2,ACORN-L,Adversity,ToU
MAC001587,1,ACORN-F,Comfortable,Std
MAC001588,1,ACORN-L,Adversity,Std
MAC001589,2,ACORN-E,Affluent,Std
MAC001590,0,ACORN-E,Affluent,ToU
MAC001591,2,ACORN-H,Comfortable,Std
MAC001592,2,ACORN-G,Comfortable,Std
MAC001593,2,ACORN-N,Adversity,Std
MAC001594,1,ACORN-Q,Adversity,Std
MAC001595,2,ACORN-E,Affluent,Std
MAC001596,2,ACORN-E,Affluent,ToU
MAC001597,2,ACORN-L,Adversity,ToU
MAC001598,1,ACORN-Q,Adversity,Std
MAC001599,2,ACORN-F,Comfortable,Std
MAC001600,2,ACORN-U,ACORN-U,Std
MAC001601,1,ACORN-F,Comfortable,Std
MAC001602,2,ACORN-F,Comfortable,ToU
MAC001603,0,ACORN-Q,Adversity,Std
MAC001604,1,ACORN-M,Adversity,Std
MAC001605,2,ACORN-J,Comfortable,Std
MAC001606,2,ACORN-E,Affluent,Std
MAC001607,2,ACORN-N,Adversity,Std
MAC001608,1,ACORN-L,Adversity,Std
MAC001609,2,ACORN-E,Affluent,Std
MAC001610,2,ACORN-E,Affluent,ToU
MAC001611,1,ACORN-M,Adversity,Std
MAC001612,2,ACORN-D,Affluent,ToU
MAC001613,1,ACORN-D,Affluent,Std
MAC001614,2,ACORN-D,Affluent,ToU
MAC001615,2,ACORN-F,Comfortable,Std
MAC001616,2,ACORN-Q,Adversity,Std
MAC001617,2,ACORN-E,Affluent,Std
MAC001618,1,ACORN-H,Comfortable,Std
MAC001619,1,ACORN-M,Adversity,Std
MAC001620,1,ACORN-Q,Adversity,Std
MAC001621,2,ACORN-N,Adversity,Std
MAC001622,2,ACORN-Q,Adversity,Std
MAC001623,2,ACORN-E,Affluent,Std
MAC001624,2,ACORN-E,Affluent,Std
MAC001625,1,ACORN-F,Comfortable,Std
MAC001626,1,ACORN-G,Comfortable,ToU
MAC001627,1,ACORN-N,Adversity,Std
MAC001628,2,ACORN-A,Affluent,Std
MAC001629,2,ACORN-F,Comfortable,Std
MAC001630,2,ACORN-F,Comfortable,Std
MAC001631,2,ACORN-F,Comfortable,Std
MAC001632,2,ACORN-E,Affluent,Std
MAC001633,2,ACORN-E,Affluent,Std
MAC001634,1,ACORN-J,Comfortable,Std
MAC001635,2,ACORN-F,Comfortable,Std
MAC001636,2,ACORN-G,Comfortable,ToU
MAC001637,2,ACORN-F,Comfortable,Std
MAC001638,2,ACORN-D,Affluent,Std
MAC001639,2,ACORN-O,Adversity,Std
MAC001640,2,ACORN-Q,Adversity,Std
MAC001641,0,ACORN-E,Affluent,Std
MAC001642,1,ACORN-D,Affluent,ToU
MAC001643,1,ACORN-N,Adversity,Std
MAC001644,2,ACORN-E,Affluent,Std
MAC001645,2,ACORN-H,Comfortable,ToU
MAC001646,1,ACORN-F,Comfortable,Std
MAC001647,2,ACORN-E,Affluent,Std
MAC001648,2,ACORN-Q,Adversity,Std
MAC001649,1,ACORN-F,Comfortable,Std
MAC001650,1,ACORN-H,Comfortable,ToU
MAC001651,2,ACORN-E,Affluent,ToU
MAC001652,2,ACORN-C,Affluent,Std
MAC001653,1,ACORN-A,Affluent,ToU
MAC001654,2,ACORN-E,Affluent,Std
MAC001655,2,ACORN-E,Affluent,ToU
MAC001656,1,ACORN-D,Affluent,Std
MAC001657,2,ACORN-Q,Adversity,Std
MAC001658,2,ACORN-L,Adversity,ToU
MAC001659,2,ACORN-F,Comfortable,Std
MAC001660,2,ACORN-F,Comfortable,ToU
MAC001661,1,ACORN-C,Affluent,Std
MAC001662,2,ACORN-E,Affluent,Std
MAC001663,2,ACORN-Q,Adversity,Std
MAC001664,1,ACORN-C,Affluent,Std
MAC001665,0,ACORN-E,Affluent,Std
MAC001666,1,ACORN-K,Adversity,Std
MAC001667,2,ACORN-F,Comfortable,ToU
MAC001668,1,ACORN-L,Adversity,Std
MAC001669,1,ACORN-E,Affluent,Std
MAC001670,2,ACORN-E,Affluent,Std
MAC001671,2,ACORN-N,Adversity,Std
MAC001672,2,ACORN-Q,Adversity,Std
MAC001673,2,ACORN-Q,Adversity,Std
MAC001674,2,ACORN-E,Affluent,Std
MAC001675,2,ACORN-N,Adversity,Std
MAC001676,1,ACORN-E,Affluent,Std
MAC001677,1,ACORN-L,Adversity,Std
MAC001678,2,ACORN-E,Affluent,Std
MAC001679,2,ACORN-H,Comfortable,Std
MAC001680,2,ACORN-G,Comfortable,ToU
MAC001681,2,ACORN-K,Adversity,Std
MAC001682,1,ACORN-D,Affluent,ToU
MAC001683,1,ACORN-N,Adversity,Std
MAC001684,2,ACORN-Q,Adversity,Std
MAC001685,2,ACORN-F,Comfortable,Std
MAC001686,2,ACORN-F,Comfortable,ToU
MAC001687,2,ACORN-E,Affluent,Std
MAC001688,2,ACORN-J,Comfortable,ToU
MAC001689,1,ACORN-A,Affluent,Std
MAC001690,1,ACORN-G,Comfortable,Std
MAC001691,1,ACORN-D,Affluent,Std
MAC001692,1,ACORN-Q,Adversity,Std
MAC001693,1,ACORN-E,Affluent,ToU
MAC001694,2,ACORN-F,Comfortable,ToU
MAC001695,2,ACORN-C,Affluent,Std
MAC001696,1,ACORN-F,Comfortable,Std
MAC001697,2,ACORN-I,Comfortable,Std
MAC001698,0,ACORN-D,Affluent,Std
MAC001699,1,ACORN-E,Affluent,Std
MAC001700,2,ACORN-H,Comfortable,ToU
MAC001701,1,ACORN-E,Affluent,Std
MAC001702,2,ACORN-E,Affluent,Std
MAC001703,1,ACORN-Q,Adversity,Std
MAC001704,2,ACORN-U,ACORN-U,ToU
MAC001705,0,ACORN-E,Affluent,Std
MAC001706,1,ACORN-U,ACORN-U,ToU
MAC001707,1,ACORN-E,Affluent,ToU
MAC001708,2,ACORN-E,Affluent,Std
MAC001709,2,ACORN-E,Affluent,Std
MAC001710,1,ACORN-A,Affluent,Std
MAC001711,2,ACORN-E,Affluent,Std
MAC001712,2,ACORN-E,Affluent,ToU
MAC001713,1,ACORN-E,Affluent,Std
MAC001714,2,ACORN-Q,Adversity,Std
MAC001715,1,ACORN-Q,Adversity,ToU
MAC001716,2,ACORN-E,Affluent,Std
MAC001717,1,ACORN-D,Affluent,Std
MAC001718,2,ACORN-F,Comfortable,ToU
MAC001719,2,ACORN-H,Comfortable,Std
MAC001720,1,ACORN-E,Affluent,Std
MAC001721,1,ACORN-F,Comfortable,Std
MAC001722,2,ACORN-E,Affluent,Std
MAC001723,2,ACORN-E,Affluent,Std
MAC001724,1,ACORN-F,Comfortable,Std
MAC001725,1,ACORN-E,Affluent,Std
MAC001726,0,ACORN-E,Affluent,Std
MAC001727,1,ACORN-N,Adversity,Std
MAC001728,2,ACORN-F,Comfortable,Std
MAC001729,2,ACORN-F,Comfortable,Std
MAC001730,2,ACORN-E,Affluent,Std
MAC001731,2,ACORN-E,Affluent,Std
MAC001732,2,ACORN-M,Adversity,Std
MAC001733,2,ACORN-F,Comfortable,Std
MAC001734,0,ACORN-A,Affluent,Std
MAC001735,0,ACORN-D,Affluent,Std
MAC001736,1,ACORN-A,Affluent,ToU
MAC001737,2,ACORN-E,Affluent,Std
MAC001738,2,ACORN-Q,Adversity,Std
MAC001739,0,ACORN-G,Comfortable,Std
MAC001740,2,ACORN-I,Comfortable,Std
MAC001741,2,ACORN-E,Affluent,ToU
MAC001742,2,ACORN-L,Adversity,Std
MAC001743,1,ACORN-E,Affluent,ToU
MAC001744,1,ACORN-Q,Adversity,Std
MAC001745,1,ACORN-E,Affluent,Std
MAC001746,1,ACORN-K,Adversity,Std
MAC001747,1,ACORN-Q,Adversity,Std
MAC001748,2,ACORN-Q,Adversity,Std
MAC001749,1,ACORN-H,Comfortable,Std
MAC001750,2,ACORN-E,Affluent,ToU
MAC001751,2,ACORN-Q,Adversity,Std
MAC001752,2,ACORN-Q,Adversity,Std
MAC001753,1,ACORN-E,Affluent,Std
MAC001754,2,ACORN-E,Affluent,Std
MAC001755,2,ACORN-Q,Adversity,ToU
MAC001756,1,ACORN-E,Affluent,ToU
MAC001757,2,ACORN-F,Comfortable,Std
MAC001758,1,ACORN-F,Comfortable,Std
MAC001759,2,ACORN-F,Comfortable,Std
MAC001760,1,ACORN-F,Comfortable,Std
MAC001761,2,ACORN-L,Adversity,Std
MAC001762,2,ACORN-O,Adversity,Std
MAC001763,2,ACORN-E,Affluent,Std
MAC001764,1,ACORN-F,Comfortable,Std
MAC001765,1,ACORN-Q,Adversity,Std
MAC001766,0,ACORN-D,Affluent,Std
MAC001767,2,ACORN-C,Affluent,ToU
MAC001768,1,ACORN-D,Affluent,Std
MAC001769,1,ACORN-F,Comfortable,Std
MAC001770,2,ACORN-K,Adversity,ToU
MAC001771,1,ACORN-G,Comfortable,Std
MAC001772,2,ACORN-E,Affluent,ToU
MAC001773,2,ACORN-Q,Adversity,ToU
MAC001774,2,ACORN-K,Adversity,Std
MAC001775,1,ACORN-O,Adversity,Std
MAC001776,2,ACORN-A,Affluent,Std
MAC001777,2,ACORN-Q,Adversity,ToU
MAC001778,2,ACORN-F,Comfortable,ToU
MAC001779,2,ACORN-Q,Adversity,Std
MAC001780,0,ACORN-E,Affluent,Std
MAC001781,1,ACORN-E,Affluent,Std
MAC001782,2,ACORN-F,Comfortable,Std
MAC001783,1,ACORN-M,Adversity,Std
MAC001784,2,ACORN-F,Comfortable,Std
MAC001785,2,ACORN-Q,Adversity,Std
MAC001786,2,ACORN-F,Comfortable,Std
MAC001787,2,ACORN-D,Affluent,Std
MAC001788,2,ACORN-E,Affluent,Std
MAC001789,1,ACORN-F,Comfortable,Std
MAC001790,0,ACORN-F,Comfortable,Std
MAC001791,1,ACORN-Q,Adversity,Std
MAC001792,1,ACORN-G,Comfortable,Std
MAC001793,1,ACORN-F,Comfortable,Std
MAC001794,1,ACORN-E,Affluent,Std
MAC001795,2,ACORN-U,ACORN-U,Std
MAC001796,2,ACORN-N,Adversity,Std
MAC001797,2,ACORN-L,Adversity,Std
MAC001798,2,ACORN-Q,Adversity,Std
MAC001799,2,ACORN-K,Adversity,Std
MAC001800,1,ACORN-D,Affluent,Std
MAC001801,2,ACORN-E,Affluent,Std
MAC001802,1,ACORN-F,Comfortable,Std
MAC001803,2,ACORN-D,Affluent,Std
MAC001804,2,ACORN-M,Adversity,Std
MAC001805,0,ACORN-F,Comfortable,Std
MAC001806,2,ACORN-E,Affluent,ToU
MAC001807,2,ACORN-G,Comfortable,Std
MAC001808,2,ACORN-E,Affluent,Std
MAC001809,0,ACORN-F,Comfortable,Std
MAC001810,2,ACORN-E,Affluent,Std
MAC001811,1,ACORN-Q,Adversity,Std
MAC001812,2,ACORN-E,Affluent,Std
MAC001813,1,ACORN-F,Comfortable,Std
MAC001814,2,ACORN-J,Comfortable,ToU
MAC001815,2,ACORN-E,Affluent,Std
MAC001816,2,ACORN-N,Adversity,Std
MAC001817,2,ACORN-Q,Adversity,Std
MAC001818,1,ACORN-F,Comfortable,Std
MAC001819,1,ACORN-A,Affluent,Std
MAC001820,0,ACORN-J,Comfortable,Std
MAC001821,1,ACORN-D,Affluent,Std
MAC001822,1,ACORN-F,Comfortable,Std
MAC001823,2,ACORN-L,Adversity,ToU
MAC001824,2,ACORN-Q,Adversity,Std
MAC001825,2,ACORN-D,Affluent,ToU
MAC001826,2,ACORN-D,Affluent,ToU
MAC001827,2,ACORN-L,Adversity,Std
MAC001828,1,ACORN-F,Comfortable,Std
MAC001829,2,ACORN-Q,Adversity,Std
MAC001830,2,ACORN-G,Comfortable,ToU
MAC001831,1,ACORN-E,Affluent,Std
MAC001832,0,ACORN-E,Affluent,Std
MAC001833,2,ACORN-E,Affluent,ToU
MAC001834,2,ACORN-O,Adversity,Std
MAC001835,1,ACORN-B,Affluent,ToU
MAC001836,0,ACORN-A,Affluent,Std
MAC001837,2,ACORN-Q,Adversity,Std
MAC001838,1,ACORN-F,Comfortable,Std
MAC001839,2,ACORN-Q,Adversity,Std
MAC001840,2,ACORN-Q,Adversity,ToU
MAC001841,2,ACORN-Q,Adversity,Std
MAC001842,2,ACORN-F,Comfortable,Std
MAC001843,1,ACORN-A,Affluent,Std
MAC001844,2,ACORN-Q,Adversity,Std
MAC001845,2,ACORN-L,Adversity,Std
MAC001846,0,ACORN-J,Comfortable,Std
MAC001847,2,ACORN-F,Comfortable,ToU
MAC001848,2,ACORN-F,Comfortable,Std
MAC001849,2,ACORN-E,Affluent,ToU
MAC001850,2,ACORN-O,Adversity,Std
MAC001851,0,ACORN-U,ACORN-U,ToU
MAC001852,2,ACORN-E,Affluent,Std
MAC001853,1,ACORN-E,Affluent,ToU
MAC001854,2,ACORN-E,Affluent,Std
MAC001855,2,ACORN-E,Affluent,ToU
MAC001856,2,ACORN-E,Affluent,ToU
MAC001857,1,ACORN-G,Comfortable,ToU
MAC001858,1,ACORN-H,Comfortable,ToU
MAC001859,1,ACORN-H,Comfortable,Std
MAC001860,1,ACORN-F,Comfortable,Std
MAC001861,1,ACORN-F,Comfortable,ToU
MAC001862,0,ACORN-E,Affluent,Std
MAC001863,2,ACORN-Q,Adversity,Std
MAC001864,1,ACORN-L,Adversity,Std
MAC001865,1,ACORN-I,Comfortable,ToU
MAC001866,1,ACORN-N,Adversity,Std
MAC001867,2,ACORN-D,Affluent,Std
MAC001868,2,ACORN-K,Adversity,Std
MAC001869,1,ACORN-D,Affluent,Std
MAC001870,2,ACORN-G,Comfortable,Std
MAC001871,2,ACORN-Q,Adversity,Std
MAC001872,2,ACORN-L,Adversity,Std
MAC001873,1,ACORN-D,Affluent,ToU
MAC001874,1,ACORN-M,Adversity,Std
MAC001875,2,ACORN-I,Comfortable,Std
MAC001876,2,ACORN-Q,Adversity,Std
MAC001877,2,ACORN-F,Comfortable,Std
MAC001878,1,ACORN-Q,Adversity,Std
MAC001879,2,ACORN-F,Comfortable,Std
MAC001880,2,ACORN-Q,Adversity,ToU
MAC001881,2,ACORN-G,Comfortable,Std
MAC001882,2,ACORN-L,Adversity,Std
MAC001883,2,ACORN-P,Adversity,Std
MAC001884,2,ACORN-E,Affluent,Std
MAC001885,1,ACORN-Q,Adversity,Std
MAC001886,2,ACORN-E,Affluent,Std
MAC001887,2,ACORN-O,Adversity,Std
MAC001888,2,ACORN-K,Adversity,Std
MAC001889,2,ACORN-E,Affluent,Std
MAC001890,2,ACORN-F,Comfortable,Std
MAC001891,1,ACORN-H,Comfortable,Std
MAC001892,2,ACORN-M,Adversity,Std
MAC001893,1,ACORN-A,Affluent,Std
MAC001894,1,ACORN-Q,Adversity,Std
MAC001895,1,ACORN-E,Affluent,Std
MAC001896,1,ACORN-E,Affluent,Std
MAC001897,2,ACORN-D,Affluent,Std
MAC001898,2,ACORN-Q,Adversity,Std
MAC001899,1,ACORN-Q,Adversity,Std
MAC001900,2,ACORN-J,Comfortable,Std
MAC001901,1,ACORN-F,Comfortable,Std
MAC001902,0,ACORN-E,Affluent,Std
MAC001903,2,ACORN-F,Comfortable,Std
MAC001904,2,ACORN-Q,Adversity,ToU
MAC001905,2,ACORN-E,Affluent,Std
MAC001906,2,ACORN-F,Comfortable,Std
MAC001907,2,ACORN-Q,Adversity,Std
MAC001908,2,ACORN-Q,Adversity,Std
MAC001909,1,ACORN-L,Adversity,Std
MAC001910,1,ACORN-Q,Adversity,ToU
MAC001911,2,ACORN-F,Comfortable,Std
MAC001912,2,ACORN-E,Affluent,ToU
MAC001913,1,ACORN-F,Comfortable,Std
MAC001914,1,ACORN-E,Affluent,Std
MAC001915,2,ACORN-J,Comfortable,Std
MAC001916,2,ACORN-E,Affluent,Std
MAC001917,1,ACORN-Q,Adversity,Std
MAC001918,2,ACORN-E,Affluent,Std
MAC001919,2,ACORN-E,Affluent,Std
MAC001920,1,ACORN-E,Affluent,Std
MAC001921,2,ACORN-Q,Adversity,Std
MAC001922,2,ACORN-Q,Adversity,Std
MAC001923,1,ACORN-K,Adversity,Std
MAC001924,2,ACORN-F,Comfortable,Std
MAC001925,1,ACORN-L,Adversity,ToU
MAC001926,1,ACORN-F,Comfortable,Std
MAC001927,2,ACORN-K,Adversity,Std
MAC001928,2,ACORN-D,Affluent,ToU
MAC001929,2,ACORN-K,Adversity,Std
MAC001930,2,ACORN-O,Adversity,Std
MAC001931,2,ACORN-Q,Adversity,Std
MAC001932,2,ACORN-N,Adversity,Std
MAC001933,2,ACORN-E,Affluent,Std
MAC001934,2,ACORN-F,Comfortable,Std
MAC001935,1,ACORN-G,Comfortable,Std
MAC001936,1,ACORN-E,Affluent,Std
MAC001937,1,ACORN-O,Adversity,Std
MAC001938,2,ACORN-E,Affluent,Std
MAC001939,0,ACORN-L,Adversity,Std
MAC001940,2,ACORN-G,Comfortable,Std
MAC001941,1,ACORN-F,Comfortable,Std
MAC001942,2,ACORN-L,Adversity,ToU
MAC001943,2,ACORN-E,Affluent,Std
MAC001944,2,ACORN-F,Comfortable,Std
MAC001945,2,ACORN-L,Adversity,Std
MAC001946,2,ACORN-F,Comfortable,Std
MAC001947,2,ACORN-M,Adversity,Std
MAC001948,1,ACORN-F,Comfortable,Std
MAC001949,2,ACORN-F,Comfortable,Std
MAC001950,1,ACORN-E,Affluent,Std
MAC001951,1,ACORN-H,Comfortable,ToU
MAC001952,2,ACORN-Q,Adversity,ToU
MAC001953,2,ACORN-Q,Adversity,Std
MAC001954,2,ACORN-E,Affluent,Std
MAC001955,1,ACORN-M,Adversity,Std
MAC001956,1,ACORN-D,Affluent,Std
MAC001957,2,ACORN-E,Affluent,Std
MAC001958,2,ACORN-C,Affluent,Std
MAC001959,2,ACORN-Q,Adversity,Std
MAC001960,2,ACORN-E,Affluent,Std
MAC001961,2,ACORN-F,Comfortable,Std
MAC001962,2,ACORN-E,Affluent,Std
MAC001963,2,ACORN-E,Affluent,Std
MAC001964,2,ACORN-D,Affluent,Std
MAC001965,2,ACORN-F,Comfortable,Std
MAC001966,1,ACORN-B,Affluent,Std
MAC001967,2,ACORN-K,Adversity,Std
MAC001968,1,ACORN-Q,Adversity,Std
MAC001969,2,ACORN-F,Comfortable,ToU
MAC001970,1,ACORN-E,Affluent,Std
MAC001971,2,ACORN-F,Comfortable,Std
MAC001972,2,ACORN-E,Affluent,Std
MAC001973,1,ACORN-F,Comfortable,Std
MAC001974,2,ACORN-F,Comfortable,Std
MAC001975,2,ACORN-H,Comfortable,Std
MAC001976,2,ACORN-E,Affluent,ToU
MAC001977,2,ACORN-N,Adversity,Std
MAC001978,0,ACORN-E,Affluent,Std
MAC001979,2,ACORN-E,Affluent,Std
MAC001980,2,ACORN-D,Affluent,Std
MAC001981,1,ACORN-L,Adversity,Std
MAC001982,1,ACORN-N,Adversity,Std
MAC001983,1,ACORN-Q,Adversity,Std
MAC001984,2,ACORN-E,Affluent,ToU
MAC001985,2,ACORN-G,Comfortable,Std
MAC001986,1,ACORN-K,Adversity,Std
MAC001987,0,ACORN-E,Affluent,Std
MAC001988,2,ACORN-C,Affluent,Std
MAC001989,1,ACORN-A,Affluent,Std
MAC001990,2,ACORN-E,Affluent,Std
MAC001991,1,ACORN-H,Comfortable,Std
MAC001992,2,ACORN-F,Comfortable,Std
MAC001993,2,ACORN-N,Adversity,ToU
