LCLid,avg_daily_consumption,std_daily_consumption,avg_daily_mean,avg_daily_peak,avg_load_factor,weekday_avg,weekend_avg,weekend_weekday_ratio,coef_variation,cluster,Acorn,Acorn_grouped,stdorToU
MAC001678,5.701775,2.3892944,0.11962141,0.6061888,0.26596442,5.454556,6.3252583,1.1596284,0.41904396,2,ACORN-E,Affluent,Std
MAC001679,9.509824,6.026558,0.19848129,0.71213573,0.28164992,9.295586,10.050127,1.081172,0.6337192,2,ACORN-H,Comfortable,Std
MAC001680,6.513458,2.2624614,0.13595414,0.7119091,0.21387683,6.2127833,7.272619,1.1705894,0.34735182,2,ACORN-G,Comfortable,ToU
MAC001681,1.7820812,1.4550856,0.03739739,0.11750469,0.39126366,1.768867,1.8155912,1.0264148,0.8165091,2,ACORN-K,Adversity,Std
MAC001682,12.975811,4.3704114,0.27154925,1.1392138,0.26137596,12.602492,13.917313,1.1043302,0.3368122,1,ACORN-D,Affluent,ToU
MAC001683,12.514932,1.6663843,0.2614668,0.8368813,0.3333848,12.3707905,12.880459,1.0411993,0.1331517,1,ACORN-N,Adversity,Std
MAC001684,4.910925,1.0290285,0.10272604,0.37619844,0.3127328,4.7798758,5.243254,1.0969436,0.20953864,2,ACORN-Q,Adversity,Std
MAC001685,8.380327,1.179293,0.17509857,0.66087306,0.3132698,8.35663,8.44016,1.0099956,0.1407216,2,ACORN-F,Comfortable,Std
MAC001686,4.4186115,2.5517938,0.09231925,0.5609813,0.21786116,4.2617517,4.8142085,1.1296314,0.57751036,2,ACORN-F,Comfortable,ToU
MAC001687,6.9413695,3.503896,0.14481808,0.82772386,0.2213271,7.6351113,5.191769,0.67998606,0.5047845,2,ACORN-E,Affluent,Std
MAC001688,2.6833014,1.2581669,0.056002907,0.19560781,0.34708482,2.6428323,2.785928,1.0541449,0.46888766,2,ACORN-J,Comfortable,ToU
MAC001689,19.440784,5.336875,0.4063286,1.1318798,0.37342072,18.529394,21.739292,1.1732328,0.27451953,1,ACORN-A,Affluent,Std
MAC001690,11.12643,2.8291042,0.23412156,0.8502105,0.30997685,11.00145,11.4422455,1.0400671,0.25426883,1,ACORN-G,Comfortable,Std
MAC001691,13.229722,4.7323484,0.27639514,1.018039,0.2991831,12.784029,14.353753,1.122788,0.3577058,1,ACORN-D,Affluent,Std
MAC001692,18.436161,7.732784,0.384941,1.4936407,0.3120249,18.48937,18.302258,0.98987997,0.41943568,1,ACORN-Q,Adversity,Std
MAC001693,16.104242,6.4299235,0.3373736,0.97462815,0.3661788,16.38486,15.398077,0.93977475,0.39926893,1,ACORN-E,Affluent,ToU
MAC001694,8.106599,2.5501065,0.16921337,1.2143495,0.17936632,8.2512045,7.7419066,0.93827593,0.31457168,2,ACORN-F,Comfortable,ToU
MAC001695,5.9161468,3.438432,0.12384721,0.3802672,0.35235438,5.7211356,6.40689,1.1198633,0.5811945,2,ACORN-C,Affluent,Std
MAC001696,20.194172,6.5567327,0.42159787,1.1786599,0.3724754,19.52521,21.88128,1.1206682,0.3246844,1,ACORN-F,Comfortable,Std
MAC001697,7.1920094,1.9996185,0.15007731,0.5596895,0.3456818,6.6995792,8.433907,1.2588711,0.27803335,2,ACORN-I,Comfortable,Std
MAC001698,41.65898,26.102005,0.87082076,2.061783,0.42034513,41.43235,42.230526,1.0192646,0.62656367,0,ACORN-D,Affluent,Std
MAC001699,15.360152,7.414348,0.32245257,0.85194224,0.4568292,14.84073,16.67012,1.1232682,0.48270017,1,ACORN-E,Affluent,Std
MAC001700,4.017685,1.3577574,0.08399813,0.36396,0.30010036,4.0919375,3.82675,0.9351927,0.33794522,2,ACORN-H,Comfortable,ToU
MAC001701,15.9938135,9.7960825,0.3336995,1.9498814,0.201258,16.305046,15.208891,0.93277204,0.61249197,1,ACORN-E,Affluent,Std
MAC001702,6.6412406,1.5813034,0.13916968,0.40812653,0.3872799,6.680092,6.5427184,0.9794354,0.23810361,2,ACORN-E,Affluent,Std
MAC001703,14.707474,2.1113822,0.30798584,0.72520626,0.43744665,14.297046,15.740308,1.1009483,0.14355846,1,ACORN-Q,Adversity,Std
MAC001704,5.35173,2.482451,0.111933075,0.4888081,0.2801668,5.2489886,5.610841,1.0689375,0.46385953,2,ACORN-U,ACORN-U,ToU
MAC001705,29.476406,15.804211,0.6174991,1.940677,0.32562375,29.653036,29.033869,0.9791196,0.53616476,0,ACORN-E,Affluent,Std
MAC001706,10.373216,3.6452496,0.2168119,0.92990124,0.26081795,9.621583,12.256428,1.2738473,0.3514098,1,ACORN-U,ACORN-U,ToU
MAC001707,13.139831,5.65537,0.2740265,1.6686295,0.16604806,12.695571,14.250478,1.1224763,0.43039903,1,ACORN-E,Affluent,ToU
MAC001708,9.288227,1.8094045,0.1939094,0.8167197,0.25130412,9.347991,9.138321,0.9775706,0.19480623,2,ACORN-E,Affluent,Std
MAC001709,8.444923,3.4230611,0.17624182,0.82044333,0.22369446,8.044184,9.444329,1.1740569,0.4053395,2,ACORN-E,Affluent,Std
MAC001710,16.34596,9.389062,0.34103253,0.9263652,0.4010421,16.339315,16.36261,1.0014256,0.57439643,1,ACORN-A,Affluent,Std
MAC001711,2.3607695,1.6927737,0.04938573,0.1595486,0.34562647,2.354581,2.3762746,1.0092133,0.71704316,2,ACORN-E,Affluent,Std
MAC001712,7.0214925,2.9974375,0.14697334,0.5769021,0.32783666,7.0384107,6.979021,0.99156207,0.42689463,2,ACORN-E,Affluent,ToU
MAC001713,19.837383,6.086287,0.41504318,1.5254639,0.29235166,19.996437,19.438873,0.9721168,0.30680898,1,ACORN-E,Affluent,Std
MAC001714,3.7705033,0.5967826,0.07873524,0.4857931,0.18093006,3.7538817,3.812148,1.0155216,0.15827665,2,ACORN-Q,Adversity,Std
MAC001715,11.3701,8.159345,0.2369282,0.49603733,0.47171497,11.510618,11.01797,0.9572005,0.7176142,1,ACORN-Q,Adversity,ToU
MAC001716,7.759071,2.6207502,0.16212244,0.8417229,0.21923995,7.19961,9.160937,1.2724212,0.337766,2,ACORN-E,Affluent,Std
MAC001717,9.8543415,4.2448015,0.212499,0.91769964,0.2953809,9.452975,10.856637,1.1484889,0.43075445,1,ACORN-D,Affluent,Std
MAC001718,2.9296975,0.901621,0.061254263,0.24197806,0.31198618,2.8537984,3.1198626,1.0932316,0.30775225,2,ACORN-F,Comfortable,ToU
MAC001719,10.098178,2.4788263,0.21164674,0.63430136,0.3467508,10.193901,9.857017,0.9669523,0.24547262,2,ACORN-H,Comfortable,Std
MAC001720,12.027976,4.1484966,0.2512108,1.0625384,0.26378068,11.339737,13.761884,1.2135981,0.34490398,1,ACORN-E,Affluent,Std
MAC001721,11.999188,3.4282975,0.25047004,0.87982446,0.31861493,11.849643,12.373873,1.0442401,0.28571078,1,ACORN-F,Comfortable,Std
MAC001722,3.2594693,1.8199521,0.06831951,0.21065776,0.47388175,3.4144373,2.8720496,0.84114873,0.55835843,2,ACORN-E,Affluent,Std
MAC001723,8.90595,2.168484,0.18830585,0.5786069,0.35822302,8.64805,9.55426,1.1047878,0.24348712,2,ACORN-E,Affluent,Std
MAC001724,15.77474,6.110435,0.3295319,0.9761758,0.35662577,15.267692,17.042362,1.116237,0.38735566,1,ACORN-F,Comfortable,Std
MAC001725,19.863163,5.6578717,0.41572338,0.8655793,0.5611782,19.242222,21.427525,1.1135681,0.28484243,1,ACORN-E,Affluent,Std
MAC001726,28.702553,12.147388,0.60670614,1.233784,0.5733112,29.584734,26.511633,0.89612544,0.4232163,0,ACORN-E,Affluent,Std
MAC001727,11.461714,2.642005,0.23953736,1.0680125,0.24609303,11.670555,10.935575,0.9370226,0.23050697,1,ACORN-N,Adversity,Std
MAC001728,9.258163,2.3011158,0.19336045,0.78144825,0.2725478,9.205454,9.390225,1.020072,0.24854992,2,ACORN-F,Comfortable,Std
MAC001729,6.7954874,2.1975894,0.14203991,0.7343417,0.2171757,6.7027965,7.027725,1.0484766,0.32338953,2,ACORN-F,Comfortable,Std
MAC001730,9.31949,2.490388,0.1944381,1.0975988,0.19012153,9.35009,9.242824,0.9885278,0.26722363,2,ACORN-E,Affluent,Std
MAC001731,7.448358,8.123122,0.15689705,0.5109088,0.31291538,6.9975076,8.581713,1.2263956,1.0905924,2,ACORN-E,Affluent,Std
MAC001732,3.693525,0.7088966,0.07722602,0.21969905,0.36947623,3.6634781,3.7688076,1.0287513,0.19192955,2,ACORN-M,Adversity,Std
MAC001733,8.5132475,2.1078947,0.17811698,0.64611286,0.3068858,8.385009,8.83455,1.0536125,0.24760172,2,ACORN-F,Comfortable,Std
MAC001734,31.991924,10.42513,0.66769046,1.93813,0.36509657,31.90468,32.21051,1.0095857,0.32586753,0,ACORN-A,Affluent,Std
MAC001735,55.698296,13.575869,1.1666132,2.7982917,0.4221919,58.881283,47.723316,0.8105006,0.2437394,0,ACORN-D,Affluent,Std
MAC001736,24.472075,7.683916,0.511316,1.617711,0.332458,24.082504,25.438694,1.0563143,0.3139871,1,ACORN-A,Affluent,ToU
MAC001737,1.7283309,0.7542534,0.03616968,0.17435423,0.5446003,1.7651513,1.6360769,0.9268763,0.43640566,2,ACORN-E,Affluent,Std
MAC001738,4.617328,0.9468011,0.09663626,0.40522763,0.32533193,4.62782,4.590895,0.99202114,0.2050539,2,ACORN-Q,Adversity,Std
MAC001739,59.291035,24.358948,1.2482002,2.3418996,0.5369034,60.16338,57.105373,0.94917166,0.41083694,0,ACORN-G,Comfortable,Std
MAC001740,4.9255095,1.0150814,0.103120364,0.37737462,0.31782752,4.801579,5.2360168,1.0904781,0.20608658,2,ACORN-I,Comfortable,Std
MAC001741,5.543429,1.2395933,0.116519056,0.3229639,0.37168255,5.4495196,5.7800164,1.060647,0.2236149,2,ACORN-E,Affluent,ToU
MAC001742,8.331386,2.3040993,0.17396878,0.59020126,0.31342018,8.481585,7.953812,0.9377743,0.27655655,2,ACORN-L,Adversity,Std
MAC001743,10.427104,6.539626,0.21767788,1.6106526,0.16287872,9.2619705,13.356028,1.4420288,0.6271757,1,ACORN-E,Affluent,ToU
MAC001744,12.120476,8.151467,0.25284222,1.3022873,0.19052479,10.864787,15.259697,1.4045095,0.6725369,1,ACORN-Q,Adversity,Std
MAC001745,15.401976,3.6703703,0.32204086,1.1202841,0.3049858,14.434017,17.821875,1.2347134,0.23830517,1,ACORN-E,Affluent,Std
MAC001746,17.450825,5.3274055,0.36437365,2.0625396,0.19107999,16.571121,19.652514,1.1859496,0.305281,1,ACORN-K,Adversity,Std
MAC001747,12.861625,2.636889,0.26873535,1.209772,0.2553227,12.717424,13.224115,1.0398422,0.20501989,1,ACORN-Q,Adversity,Std
MAC001748,7.497605,2.1136472,0.15826267,1.030428,0.20921725,7.015015,8.691705,1.2390144,0.28190964,2,ACORN-Q,Adversity,Std
MAC001749,15.277979,4.06427,0.31908363,1.0353422,0.32934368,14.311743,17.693565,1.236297,0.26602143,1,ACORN-H,Comfortable,Std
MAC001750,4.7134333,1.7964035,0.0986113,0.5950251,0.20937878,4.3369713,5.6545877,1.3038102,0.3811242,2,ACORN-E,Affluent,ToU
MAC001751,8.251819,3.191555,0.17280985,0.5596656,0.353083,8.049046,8.758747,1.0881721,0.3867699,2,ACORN-Q,Adversity,Std
MAC001752,11.1650505,2.2694745,0.2377638,0.69115794,0.35927343,10.906904,11.809701,1.082773,0.20326594,2,ACORN-Q,Adversity,Std
MAC001753,12.220807,4.8246245,0.25561818,1.3390722,0.2172916,12.139437,12.424231,1.0234603,0.39478773,1,ACORN-E,Affluent,Std
MAC001754,5.419058,3.3072917,0.11309254,0.6973689,0.21058355,5.058027,6.321637,1.2498227,0.6103075,2,ACORN-E,Affluent,Std
MAC001755,2.8866844,0.4692026,0.06056512,0.15332809,0.4085461,2.846866,2.9862309,1.0489538,0.16254032,2,ACORN-Q,Adversity,ToU
MAC001756,12.843242,3.3354623,0.26874802,0.7960612,0.3537226,12.627458,13.382704,1.0598098,0.25970563,1,ACORN-E,Affluent,ToU
MAC001757,6.97049,1.1224966,0.14598195,0.40648508,0.38211036,6.9003143,7.1459284,1.0355946,0.16103554,2,ACORN-F,Comfortable,Std
MAC001758,21.647694,9.073458,0.45373628,1.9471775,0.23858126,20.944674,23.405247,1.1174797,0.419142,1,ACORN-F,Comfortable,Std
MAC001759,5.315631,3.233536,0.11098581,0.43129358,0.41507572,5.0928946,5.872473,1.1530718,0.6083071,2,ACORN-F,Comfortable,Std
MAC001760,12.752242,7.332526,0.26625028,0.9938022,0.29287368,11.9512205,14.754797,1.2345849,0.574999,1,ACORN-F,Comfortable,Std
MAC001761,8.051439,3.685395,0.16855136,0.86505336,0.24019632,7.602879,9.172841,1.2064958,0.45773122,2,ACORN-L,Adversity,Std
MAC001762,8.784484,2.452898,0.18354107,0.9027167,0.2156432,8.76082,8.843258,1.0094098,0.27923074,2,ACORN-O,Adversity,Std
MAC001763,3.2408087,1.0110897,0.06790715,0.2272547,0.4467871,3.159038,3.447205,1.0912199,0.31198683,2,ACORN-E,Affluent,Std
MAC001764,14.7064705,3.4561994,0.30735266,0.9926327,0.31923693,14.32518,15.659692,1.0931585,0.23501216,1,ACORN-F,Comfortable,Std
MAC001765,14.053913,5.627421,0.29374602,0.9135902,0.38260174,13.580297,15.237957,1.1220635,0.40041664,1,ACORN-Q,Adversity,Std
MAC001766,36.95191,11.264512,0.7748786,1.6919225,0.4771217,36.29722,38.608738,1.0636832,0.3048425,0,ACORN-D,Affluent,Std
MAC001767,3.9277883,1.3611691,0.08208068,0.4999542,0.22473955,3.8023398,4.2435,1.1160234,0.3465485,2,ACORN-C,Affluent,ToU
MAC001768,16.349178,4.951788,0.34114876,1.4742433,0.24331672,16.012053,17.19761,1.0740416,0.30287686,1,ACORN-D,Affluent,Std
MAC001769,12.16687,5.206036,0.25382295,0.8305324,0.32167217,11.5226755,13.7880945,1.1966053,0.42788622,1,ACORN-F,Comfortable,Std
MAC001770,4.9951153,3.4151258,0.104175426,0.800564,0.17321226,4.987828,5.0134554,1.005138,0.6836931,2,ACORN-K,Adversity,ToU
MAC001771,16.660332,3.5746958,0.34915248,1.9452405,0.23121066,16.809097,16.28676,0.96892536,0.21456331,1,ACORN-G,Comfortable,Std
MAC001772,4.1813626,2.1742108,0.08719848,0.58434707,0.1635176,4.2473207,4.01481,0.9452571,0.5199766,2,ACORN-E,Affluent,ToU
MAC001773,4.493539,1.5966951,0.0941207,0.39766085,0.27552494,4.3508563,4.8538322,1.1156039,0.3553313,2,ACORN-Q,Adversity,ToU
MAC001774,4.2871146,3.3171017,0.09886437,0.435819,0.34404308,4.3745327,4.0696626,0.930308,0.7737376,2,ACORN-K,Adversity,Std
MAC001775,12.091028,5.3662515,0.25230148,1.0859004,0.27159283,11.696099,13.084934,1.1187434,0.44382092,1,ACORN-O,Adversity,Std
MAC001776,4.6585426,3.161983,0.09726592,0.38585126,0.3439693,4.644561,4.6939273,1.0106288,0.6787494,2,ACORN-A,Affluent,Std
MAC001777,6.3074546,3.9857419,0.13203628,0.512527,0.2975875,6.19425,6.589645,1.0638325,0.6319097,2,ACORN-Q,Adversity,ToU
MAC001778,6.63537,1.5087446,0.138874,0.6896935,0.22822976,6.2030993,7.7232494,1.2450631,0.22737913,2,ACORN-F,Comfortable,ToU
MAC001779,6.891258,1.9891844,0.14409794,0.39349762,0.39304233,6.648563,7.5020385,1.1283699,0.2886533,2,ACORN-Q,Adversity,Std
MAC001780,23.719278,15.612326,0.49717405,1.4011658,0.32449827,23.827612,23.446644,0.9840115,0.6582125,0,ACORN-E,Affluent,Std
MAC001781,12.104956,3.2815666,0.25285128,0.89353716,0.31189954,12.137634,12.022717,0.9905322,0.27109283,1,ACORN-E,Affluent,Std
MAC001782,8.164487,4.471209,0.17056985,0.71476305,0.32587624,8.74775,6.6966057,0.7655232,0.54764116,2,ACORN-F,Comfortable,Std
MAC001783,17.959732,3.9294255,0.37534446,1.2856762,0.31334242,17.113121,20.089573,1.173928,0.21879087,1,ACORN-M,Adversity,Std
MAC001784,9.719773,7.490779,0.2051765,0.6847757,0.41538185,9.733201,9.685978,0.99514824,0.7706742,2,ACORN-F,Comfortable,Std
MAC001785,7.4253163,2.308113,0.15507741,0.6506035,0.27837738,7.23964,7.8926,1.0901923,0.31084374,2,ACORN-Q,Adversity,Std
MAC001786,10.35792,2.9153776,0.21634336,0.9547294,0.25051287,10.271749,10.5759945,1.0296197,0.28146362,2,ACORN-F,Comfortable,Std
MAC001787,3.503003,0.9028874,0.07320498,0.3083523,0.2564727,3.5194395,3.4616387,0.9835767,0.2577467,2,ACORN-D,Affluent,Std
MAC001788,4.7188325,2.3952487,0.09859468,0.5663861,0.22997203,4.160211,6.1117105,1.4690866,0.5075935,2,ACORN-E,Affluent,Std
MAC001789,11.632893,2.8677866,0.24279372,0.8274723,0.30351478,11.458578,12.071584,1.0534976,0.24652395,1,ACORN-F,Comfortable,Std
MAC001790,30.594976,11.006272,0.6389105,1.449282,0.496407,29.836695,32.49489,1.0890914,0.35974115,0,ACORN-F,Comfortable,Std
MAC001791,13.825956,3.0187645,0.28915048,1.3480533,0.30922222,13.333752,15.065259,1.129859,0.21834038,1,ACORN-Q,Adversity,Std
MAC001792,9.867504,2.8859828,0.20613442,1.0575625,0.20964487,9.167836,11.628334,1.2683837,0.29247344,1,ACORN-G,Comfortable,Std
MAC001793,14.29266,5.2043304,0.2989002,0.8787646,0.36397326,13.858861,15.384389,1.110076,0.3641261,1,ACORN-F,Comfortable,Std
MAC001794,19.708426,11.374205,0.41153437,1.3723334,0.40112555,21.978466,13.995494,0.6367821,0.57712394,1,ACORN-E,Affluent,Std
MAC001795,4.7850633,1.5501578,0.1000908,0.35362718,0.3089873,4.590927,5.2736387,1.1487088,0.32395762,2,ACORN-U,ACORN-U,Std
MAC001796,7.4612913,1.0688896,0.15593927,0.3557041,0.47633713,7.3822846,7.6612344,1.0377864,0.14325799,2,ACORN-N,Adversity,Std
MAC001797,7.635783,2.6537719,0.15966211,0.8162116,0.22582224,7.368282,8.309096,1.1276844,0.34754416,2,ACORN-L,Adversity,Std
MAC001798,4.2461896,1.5442523,0.08897177,0.87856865,0.1844012,4.3256664,4.046172,0.935387,0.36367953,2,ACORN-Q,Adversity,Std
MAC001799,4.102145,0.6991561,0.08581153,0.32205063,0.28441766,4.0404305,4.25833,1.0539297,0.17043671,2,ACORN-K,Adversity,Std
MAC001800,11.728784,3.3199039,0.24522915,0.9889336,0.2663808,11.121422,13.257311,1.1920518,0.2830561,1,ACORN-D,Affluent,Std
MAC001801,3.1025956,2.1930773,0.064788386,0.27962086,0.46213943,3.0974946,3.1154335,1.0057914,0.70685244,2,ACORN-E,Affluent,Std
MAC001802,13.072343,3.4059942,0.27366495,0.9407143,0.32180744,13.1801195,12.800794,0.97121984,0.26054963,1,ACORN-F,Comfortable,Std
MAC001803,1.2422749,1.2294015,0.026069425,0.12326382,0.37773138,1.1835542,1.3900555,1.1744757,0.98963726,2,ACORN-D,Affluent,Std
MAC001804,3.3305988,0.6304986,0.06974911,0.33839652,0.35444722,3.3184326,3.3612165,1.0128928,0.18930487,2,ACORN-M,Adversity,Std
MAC001805,28.587866,21.895159,0.5966572,1.4097583,0.40652904,28.341059,29.208996,1.0306247,0.76588994,0,ACORN-F,Comfortable,Std
MAC001806,7.427532,3.836444,0.15663888,0.67790365,0.29319587,7.081722,8.297822,1.1717238,0.5165166,2,ACORN-E,Affluent,ToU
MAC001807,5.3512654,1.7982086,0.11200115,0.62794626,0.2043432,5.2556844,5.591811,1.063955,0.33603427,2,ACORN-G,Comfortable,Std
MAC001808,3.953245,1.0784271,0.08267502,0.44951028,0.24637164,3.9902494,3.8601165,0.96738726,0.2727954,2,ACORN-E,Affluent,Std
MAC001809,22.872147,13.903413,0.47782263,1.9494692,0.23492856,21.793257,25.58735,1.1740949,0.6078753,0,ACORN-F,Comfortable,Std
MAC001810,6.9153476,2.6164737,0.14458495,0.4662101,0.35846785,6.7431436,7.3487277,1.0898074,0.3783575,2,ACORN-E,Affluent,Std
MAC001811,12.365099,7.335191,0.25870308,0.6763776,0.37840047,12.291422,12.550522,1.0210798,0.5932173,1,ACORN-Q,Adversity,Std
MAC001812,6.7592573,2.6542847,0.14124794,0.6430363,0.25722697,6.6427684,7.0524225,1.0616692,0.3926888,2,ACORN-E,Affluent,Std
MAC001813,14.102861,6.490875,0.2950389,0.942188,0.3797352,14.538029,13.007689,0.89473546,0.4602523,1,ACORN-F,Comfortable,Std
MAC001814,4.010227,0.9969914,0.083760895,0.7169526,0.1487989,3.8363996,4.447695,1.1593409,0.2486122,2,ACORN-J,Comfortable,ToU
MAC001815,4.5325856,2.2142553,0.09475231,0.7147911,0.16090085,4.4280972,4.7949667,1.0828503,0.48851925,2,ACORN-E,Affluent,Std
MAC001816,5.239008,1.5349076,0.10947179,0.42865035,0.29874533,5.1310663,5.510061,1.0738627,0.29297677,2,ACORN-N,Adversity,Std
MAC001817,4.7061553,1.3865134,0.09827317,0.4136127,0.28587878,4.373295,5.5448155,1.2678806,0.294617,2,ACORN-Q,Adversity,Std
MAC001818,15.03706,5.0212483,0.31380486,1.7701519,0.23134309,15.165916,14.713489,0.9701681,0.3339249,1,ACORN-F,Comfortable,Std
MAC001819,10.392204,3.7182753,0.21677418,0.889819,0.25852254,10.164423,10.961661,1.0784342,0.35779467,1,ACORN-A,Affluent,Std
MAC001820,31.200096,13.870818,0.7002328,2.0326297,0.39389613,32.329357,28.464779,0.8804623,0.44457614,0,ACORN-J,Comfortable,Std
MAC001821,17.419004,5.2801075,0.36370987,0.89849055,0.45158342,17.66044,16.812733,0.9519996,0.30312338,1,ACORN-D,Affluent,Std
MAC001822,23.769194,6.557978,0.49753967,2.0002563,0.28983113,23.459686,24.546406,1.0463228,0.27590242,1,ACORN-F,Comfortable,Std
MAC001823,2.9677436,1.3288507,0.062038332,0.2931076,0.27632564,2.9002144,3.1373165,1.0817533,0.44776466,2,ACORN-L,Adversity,ToU
MAC001824,9.801307,4.9168143,0.20535572,0.91656965,0.26235643,9.99187,9.324898,0.9332485,0.50164884,2,ACORN-Q,Adversity,Std
MAC001825,6.9343686,2.1141093,0.1447261,0.7723876,0.2422508,6.751181,7.3943725,1.095271,0.3048741,2,ACORN-D,Affluent,ToU
MAC001826,5.4998655,2.980529,0.11473733,0.66152376,0.21675786,5.4317102,5.671011,1.0440563,0.54192764,2,ACORN-D,Affluent,ToU
MAC001827,7.397756,1.7308851,0.15474544,0.7221361,0.29731607,7.4847193,7.179383,0.9592053,0.23397435,2,ACORN-L,Adversity,Std
MAC001828,12.299593,7.621549,0.25841537,0.9460412,0.2933711,12.359359,12.148676,0.98295355,0.61965865,1,ACORN-F,Comfortable,Std
MAC001829,8.753312,4.616589,0.18285154,0.6971651,0.28832033,8.486189,9.426347,1.1107868,0.52741057,2,ACORN-Q,Adversity,Std
MAC001830,10.982644,5.2653933,0.22983657,0.5643845,0.44236195,11.207953,10.416866,0.9294173,0.47942856,2,ACORN-G,Comfortable,ToU
MAC001831,20.013474,5.1155915,0.4192076,1.4399366,0.31101888,19.690687,20.824034,1.0575575,0.25560737,1,ACORN-E,Affluent,Std
MAC001832,23.978329,22.460056,0.5001111,2.3321629,0.28168178,24.563438,22.51033,0.9164161,0.93668145,0,ACORN-E,Affluent,Std
MAC001833,5.649537,2.9920347,0.11804003,0.68912995,0.23042053,5.103233,7.0183334,1.375272,0.52960706,2,ACORN-E,Affluent,ToU
MAC001834,9.586842,2.200377,0.20011318,0.66711867,0.33619624,9.656575,9.411733,0.974645,0.22952053,2,ACORN-O,Adversity,Std
MAC001835,13.873867,4.1833515,0.2896727,1.0216022,0.3069526,13.759386,14.160706,1.0291669,0.30152744,1,ACORN-B,Affluent,ToU
MAC001836,36.709435,13.098567,0.76871884,2.347842,0.34919724,34.869396,41.329983,1.1852796,0.35681745,0,ACORN-A,Affluent,Std
MAC001837,8.125459,3.5507917,0.16948225,0.8483449,0.22903377,8.241175,7.8348837,0.95069987,0.43699586,2,ACORN-Q,Adversity,Std
MAC001838,9.74026,6.372796,0.20314695,0.83877534,0.29925185,9.320955,10.793178,1.1579475,0.6542737,1,ACORN-F,Comfortable,Std
MAC001839,9.162966,1.7539889,0.19157697,0.67599523,0.31486672,9.240087,8.969305,0.9706949,0.19142152,2,ACORN-Q,Adversity,Std
MAC001840,5.981984,1.802046,0.12482351,0.86681294,0.1584836,5.4286284,7.379285,1.3593277,0.3012455,2,ACORN-Q,Adversity,ToU
MAC001841,4.4814043,2.3494246,0.09746687,0.50173867,0.31636474,3.8444455,6.073801,1.57989,0.5242608,2,ACORN-Q,Adversity,Std
MAC001842,9.191806,1.9938712,0.1930025,0.43603954,0.46357065,8.907996,9.904484,1.1118644,0.21691833,2,ACORN-F,Comfortable,Std
MAC001843,17.641834,6.2418847,0.37552398,1.4331661,0.3313161,16.940826,19.420095,1.1463487,0.35381156,1,ACORN-A,Affluent,Std
MAC001844,5.4035745,1.2742767,0.11329448,0.61401737,0.22615753,5.2572875,5.770917,1.0976986,0.23582107,2,ACORN-Q,Adversity,Std
MAC001845,5.57228,2.4191556,0.11664982,0.5026519,0.302129,5.886538,4.7831445,0.81255645,0.43414107,2,ACORN-L,Adversity,Std
MAC001846,27.803772,16.991325,0.579785,2.188414,0.25362885,27.943789,27.454287,0.9824826,0.6111158,0,ACORN-J,Comfortable,Std
MAC001847,5.6181803,1.2467395,0.11745805,0.5681535,0.24106897,5.5539093,5.779572,1.0406313,0.22191162,2,ACORN-F,Comfortable,ToU
MAC001848,7.475035,4.1657224,0.15643242,0.7861614,0.25894484,7.060487,8.516011,1.2061508,0.55728465,2,ACORN-F,Comfortable,Std
MAC001849,4.2005677,1.3467247,0.08797419,0.71101266,0.21823993,4.216241,4.160989,0.98689544,0.32060543,2,ACORN-E,Affluent,ToU
MAC001850,9.9559965,1.5549535,0.20813653,0.5718244,0.39122066,9.969801,9.921333,0.9951385,0.1561826,2,ACORN-O,Adversity,Std
MAC001851,30.268145,7.2875924,0.6332581,1.8991902,0.35405645,31.031536,28.355429,0.9137617,0.24076773,0,ACORN-U,ACORN-U,ToU
MAC001852,3.4392567,1.1571656,0.072357796,0.44371316,0.18911968,3.4130976,3.5048,1.0268679,0.33645806,2,ACORN-E,Affluent,Std
MAC001853,15.768077,10.152194,0.32987195,1.265989,0.27761033,15.739594,15.8396,1.0063537,0.6438448,1,ACORN-E,Affluent,ToU
MAC001854,5.537628,3.1467838,0.1156334,0.8090918,0.22785845,5.515971,5.592011,1.0137854,0.5682548,2,ACORN-E,Affluent,Std
MAC001855,2.4578142,1.4681767,0.05135822,0.21621905,0.4082077,2.4230177,2.5448055,1.0502628,0.5973506,2,ACORN-E,Affluent,ToU
MAC001856,9.498634,3.9152918,0.19856687,0.82914424,0.30720687,9.170337,10.327631,1.1261997,0.41219524,2,ACORN-E,Affluent,ToU
MAC001857,12.500629,3.85841,0.26134,0.69318354,0.42277277,12.425341,12.689689,1.0212749,0.30865726,1,ACORN-G,Comfortable,ToU
MAC001858,10.486788,4.697706,0.2193792,0.86012816,0.34085724,10.199094,11.209223,1.0990411,0.44796428,1,ACORN-H,Comfortable,ToU
MAC001859,19.130888,9.321514,0.39949745,1.3293476,0.37918723,19.881195,17.240448,0.8671736,0.48724943,1,ACORN-H,Comfortable,Std
MAC001860,13.389305,5.8554435,0.28005818,1.032549,0.3531032,13.909649,12.082666,0.8686536,0.43732244,1,ACORN-F,Comfortable,Std
MAC001861,18.416203,6.9927545,0.38562337,1.2357769,0.33076394,18.157042,19.06699,1.0501155,0.37970665,1,ACORN-F,Comfortable,ToU
MAC001862,34.55494,28.613668,0.72269434,1.4915949,0.5270483,36.83314,28.834112,0.78283066,0.8280631,0,ACORN-E,Affluent,Std
