LCLid,avg_daily_consumption,std_daily_consumption,avg_daily_mean,avg_daily_peak,avg_load_factor,weekday_avg,weekend_avg,weekend_weekday_ratio,coef_variation,cluster,Acorn,Acorn_grouped,stdorToU
MAC000156,11.420834,1.8049226,0.2383607,0.6367672,0.4014068,11.357159,11.580831,1.0196943,0.15803772,2,ACORN-F,Comfortable,Std
MAC000157,11.515736,2.6896386,0.24054821,0.6975609,0.39084616,10.977101,12.869169,1.172365,0.23356204,1,ACORN-G,Comfortable,Std
MAC000158,4.0013843,1.0242367,0.08356149,0.5123164,0.20217334,3.983706,4.0457287,1.0155691,0.2559706,2,ACORN-H,Comfortable,ToU
MAC000159,10.421443,3.6677313,0.21771191,0.6203925,0.36698607,10.45351,10.341004,0.9892375,0.35194084,2,ACORN-E,Affluent,Std
MAC000160,6.779041,2.6214733,0.14142154,1.0010036,0.17907894,6.5180407,7.433754,1.1404891,0.3867027,2,ACORN-F,Comfortable,Std
MAC000161,11.973329,2.0562415,0.25034994,0.66432774,0.4302117,11.917312,12.113367,1.0164514,0.17173517,1,ACORN-E,Affluent,Std
MAC000162,4.8698864,1.7341129,0.101599984,0.37005314,0.31566188,4.975723,4.6043983,0.9253727,0.35608897,2,ACORN-Q,Adversity,Std
MAC000163,12.682059,6.192373,0.26452005,1.1568817,0.24939597,12.346683,13.523343,1.0953017,0.48827818,1,ACORN-F,Comfortable,Std
MAC000164,15.384869,8.319238,0.32091844,0.896549,0.3656465,15.430703,15.27068,0.98962957,0.54074156,1,ACORN-E,Affluent,Std
MAC000165,10.543603,2.4624534,0.21995072,0.7852307,0.30139437,10.292771,11.17281,1.0855006,0.23354952,2,ACORN-E,Affluent,ToU
MAC000166,9.610762,2.3056757,0.2007184,0.6632971,0.33686268,9.587975,9.667923,1.0083385,0.23990563,2,ACORN-Q,Adversity,Std
MAC000167,6.133024,4.0327005,0.12798278,0.56678987,0.30016518,5.896034,6.7275085,1.1410227,0.65753865,2,ACORN-F,Comfortable,Std
MAC000168,2.0013852,1.4509387,0.041876152,0.2772971,0.31164116,1.9955001,2.0161483,1.0103474,0.72496724,2,ACORN-E,Affluent,Std
MAC000169,6.75976,2.5608575,0.14112577,0.49196014,0.33535472,6.3632483,7.7543983,1.2186226,0.37883854,2,ACORN-E,Affluent,Std
MAC000170,12.821051,4.444358,0.26763952,0.86278594,0.34929928,12.796621,12.882229,1.0066899,0.34664539,1,ACORN-F,Comfortable,ToU
MAC000171,3.3274076,2.6273162,0.069553375,0.41628176,0.21364902,3.398166,3.1502118,0.92703295,0.7895986,2,ACORN-O,Adversity,Std
MAC000172,4.26468,2.3638558,0.08916663,0.30008948,0.32427496,4.2196617,4.3772254,1.0373404,0.55428684,2,ACORN-E,Affluent,Std
MAC000173,5.820192,1.424052,0.121442765,0.48491174,0.2776709,5.7106414,6.094534,1.067224,0.24467441,2,ACORN-E,Affluent,ToU
MAC000174,20.726763,4.167984,0.43432784,1.7511111,0.26186594,20.349924,21.670458,1.0648913,0.2010919,1,ACORN-Q,Adversity,Std
MAC000175,7.995618,1.3883686,0.16714418,0.44591537,0.40849358,7.8872895,8.266898,1.0481292,0.17364119,2,ACORN-E,Affluent,Std
MAC000176,7.8366604,2.978547,0.16386342,0.42949453,0.39725718,7.8561406,7.787877,0.99131083,0.3800786,2,ACORN-E,Affluent,Std
MAC000177,5.6334977,2.7863204,0.11755147,0.52734625,0.2868527,5.453227,6.0841737,1.1157016,0.49459866,2,ACORN-F,Comfortable,Std
MAC000178,11.393418,3.3548682,0.2376866,1.0728317,0.2906566,11.058195,12.231479,1.1061008,0.2944567,1,ACORN-Q,Adversity,Std
MAC000179,7.496575,2.9908764,0.15653753,0.60720336,0.3008656,7.044673,8.62633,1.2245182,0.39896572,2,ACORN-E,Affluent,Std
MAC000180,10.766384,3.4994812,0.22462639,1.6594383,0.15503915,10.022571,12.625916,1.2597482,0.32503775,1,ACORN-F,Comfortable,Std
MAC000181,11.244486,4.3082185,0.23455064,1.2380205,0.24036022,11.091829,11.626127,1.0481704,0.38314053,1,ACORN-E,Affluent,Std
MAC000182,6.0604987,2.3333237,0.12642144,0.7781081,0.18436491,5.3479075,7.8352547,1.4651066,0.38500524,2,ACORN-E,Affluent,Std
MAC000183,10.528131,4.343661,0.22133562,1.0196121,0.26420966,10.519833,10.548966,1.0027695,0.41257665,1,ACORN-G,Comfortable,Std
MAC000184,9.440267,2.8034563,0.1972346,0.5242633,0.42508462,9.108479,10.262281,1.1266735,0.29696792,2,ACORN-F,Comfortable,Std
MAC000185,5.8660207,2.2665882,0.12274206,0.77181965,0.18098548,5.3247204,7.219271,1.3558029,0.3863928,2,ACORN-F,Comfortable,Std
MAC000186,4.005305,2.108217,0.08364671,0.32354006,0.2837617,3.915327,4.232171,1.080924,0.5263562,2,ACORN-E,Affluent,ToU
MAC000187,8.457846,2.7065167,0.17642596,0.73950005,0.27914098,8.306335,8.839859,1.0642309,0.32000074,2,ACORN-L,Adversity,ToU
MAC000188,4.5138655,1.1020154,0.09419361,0.3743471,0.26655677,4.4662457,4.6339316,1.0375452,0.24414006,2,ACORN-F,Comfortable,Std
MAC000189,13.000386,7.7097497,0.27143684,1.4370886,0.1894168,12.826761,13.438158,1.0476657,0.59304005,1,ACORN-E,Affluent,Std
MAC000190,6.757319,1.8321108,0.14104547,0.5352015,0.3048872,6.620939,7.101184,1.0725343,0.27112985,2,ACORN-F,Comfortable,Std
MAC000191,16.211718,6.5929747,0.33821726,1.9032062,0.20037173,15.5989685,17.756683,1.1383241,0.4066796,1,ACORN-E,Affluent,Std
MAC000192,7.495943,2.0214076,0.15641138,0.88637257,0.21423888,7.05703,8.602603,1.2190118,0.26966688,2,ACORN-F,Comfortable,Std
MAC000193,11.663071,5.3927207,0.24389882,1.3052827,0.2029682,11.609021,11.799347,1.0163946,0.46237573,1,ACORN-D,Affluent,ToU
MAC000194,9.421341,6.288598,0.19670045,0.8592136,0.29669386,9.181037,10.027235,1.092168,0.6674844,1,ACORN-D,Affluent,ToU
MAC000195,16.117111,9.615146,0.33674562,0.67528635,0.4588161,16.53759,15.0569315,0.9104671,0.59657997,1,ACORN-K,Adversity,ToU
MAC000196,2.6388571,1.3337115,0.058227308,0.3136018,0.24974445,2.632666,2.654431,1.0082673,0.5054125,2,ACORN-Q,Adversity,Std
MAC000197,0.020389564,0.34391552,0.00042869686,0.004274272,0.042062342,0.027138982,0.003371795,0.12424176,16.867233,3,ACORN-F,Comfortable,Std
MAC000198,12.772833,11.253607,0.26697198,0.9712002,0.26499468,12.948768,12.329235,0.9521551,0.88105804,1,ACORN-F,Comfortable,ToU
MAC000199,5.9986506,1.5600815,0.12524417,0.5342791,0.26843357,5.8865695,6.281248,1.0670474,0.26007208,2,ACORN-L,Adversity,Std
MAC000200,4.4546924,1.3190751,0.09297033,0.7060146,0.17013703,4.361963,4.6881027,1.074769,0.29610914,2,ACORN-F,Comfortable,Std
MAC000201,8.774891,2.0457437,0.18300207,0.84058684,0.23945592,8.66198,9.059099,1.0458462,0.23313609,2,ACORN-F,Comfortable,Std
MAC000202,16.862501,5.6834264,0.35167393,2.4969158,0.14566681,16.069,18.8413,1.1725247,0.33704528,1,ACORN-K,Adversity,Std
MAC000203,6.3099985,1.6327579,0.13170901,0.68577766,0.2165041,6.3548355,6.197141,0.97518516,0.25875726,2,ACORN-E,Affluent,Std
MAC000204,3.5367281,1.7613921,0.07399386,0.38088349,0.23352964,3.5269864,3.5613492,1.0097429,0.4980287,2,ACORN-Q,Adversity,Std
MAC000205,12.135353,2.9647121,0.25348374,1.4838614,0.19812787,12.107345,12.205854,1.0081364,0.24430373,1,ACORN-E,Affluent,Std
MAC000206,10.712097,3.445224,0.2234906,0.7393171,0.35754716,9.761034,13.106012,1.3426869,0.32161993,1,ACORN-F,Comfortable,Std
MAC000207,14.95654,5.145972,0.31247765,1.1624678,0.30606028,14.436245,16.26617,1.126759,0.34406164,1,ACORN-Q,Adversity,Std
MAC000208,8.700717,2.3638237,0.18254073,0.74597436,0.27307278,8.632384,8.871841,1.0277394,0.2716815,2,ACORN-Q,Adversity,Std
MAC000209,2.8306692,0.31854138,0.05902402,0.20334671,0.2996583,2.8416412,2.8030982,0.98643637,0.11253218,2,ACORN-F,Comfortable,Std
MAC000210,5.19806,0.8031886,0.10850998,0.5586338,0.21066032,5.2169333,5.150633,0.98729134,0.154517,2,ACORN-F,Comfortable,Std
MAC000211,9.421506,2.6017618,0.19656019,0.6662348,0.33207592,9.389864,9.501018,1.0118376,0.2761514,2,ACORN-F,Comfortable,Std
MAC000212,3.3927252,1.5075927,0.07089318,0.40443796,0.19622447,3.3886292,3.4030173,1.004246,0.44436038,2,ACORN-Q,Adversity,Std
MAC000213,7.100265,2.5963354,0.1481039,0.8146241,0.2032406,6.9591904,7.4547606,1.0712109,0.3656674,2,ACORN-O,Adversity,Std
MAC000214,7.621365,1.997124,0.15900403,0.7329672,0.23044494,7.2207894,8.62794,1.1948749,0.26204282,2,ACORN-E,Affluent,Std
MAC000215,5.790585,1.3243194,0.12087578,0.38668978,0.33610907,5.9001565,5.515252,0.93476367,0.22870217,2,ACORN-F,Comfortable,Std
MAC000216,24.809687,9.188445,0.5178867,2.008342,0.26261976,24.559668,25.437937,1.0357606,0.37035716,0,ACORN-Q,Adversity,Std
MAC000217,4.6841497,1.6910423,0.09784278,0.23346229,0.51098907,4.6814404,4.690957,1.0020329,0.3610137,2,ACORN-F,Comfortable,Std
MAC000218,15.671055,3.5474048,0.32746583,1.1372993,0.31136152,15.080949,17.153885,1.1374539,0.22636668,1,ACORN-E,Affluent,Std
MAC000219,6.5354156,1.364183,0.13636898,0.40518492,0.38753483,6.526689,6.557346,1.0046972,0.20873699,2,ACORN-E,Affluent,ToU
MAC000220,4.918517,2.7277355,0.10286178,0.42426157,0.29288152,4.8416123,5.111765,1.055798,0.5545849,2,ACORN-E,Affluent,Std
MAC000221,12.748269,6.3873262,0.26656038,1.076151,0.27875438,12.995016,12.129294,0.9333805,0.5010348,1,ACORN-E,Affluent,Std
MAC000222,14.030257,8.6094055,0.2925198,0.9989829,0.29482996,14.623375,12.542393,0.8576948,0.61363137,1,ACORN-F,Comfortable,Std
MAC000223,5.8044806,4.2359395,0.12106191,0.2464157,0.5520745,5.8570547,5.6734676,0.9686554,0.72977066,2,ACORN-Q,Adversity,Std
MAC000224,16.008245,5.5608,0.33364737,1.8839616,0.18100756,15.204781,18.016909,1.1849502,0.34737098,1,ACORN-E,Affluent,Std
MAC000225,7.8952737,2.9976387,0.16600534,0.69244355,0.2888412,7.8142548,8.099014,1.0364411,0.3796751,2,ACORN-G,Comfortable,Std
MAC000226,13.126675,3.1594026,0.27390113,1.7044495,0.18230389,13.130286,13.117616,0.999035,0.24068569,1,ACORN-F,Comfortable,Std
MAC000227,15.164366,3.8351722,0.31678274,1.3090086,0.25812265,14.590081,16.604982,1.1381007,0.25290686,1,ACORN-Q,Adversity,Std
MAC000228,7.015681,2.1509829,0.14634056,0.8094835,0.19763274,7.4084587,6.0303802,0.8139858,0.30659646,2,ACORN-E,Affluent,Std
MAC000229,8.018908,3.0685594,0.16739987,1.2796383,0.19414769,8.04039,7.965017,0.9906257,0.38266551,2,ACORN-F,Comfortable,Std
MAC000230,10.850746,3.08004,0.22630903,1.1290073,0.21457313,10.877642,10.783278,0.991325,0.28385514,1,ACORN-K,Adversity,Std
MAC000231,3.8654654,0.99422383,0.080666155,0.4588319,0.1914354,3.9518943,3.6486537,0.92326707,0.25720677,2,ACORN-Q,Adversity,Std
MAC000232,2.5353692,0.67719656,0.052913383,0.2029866,0.30531293,2.5774157,2.429893,0.9427633,0.2670998,2,ACORN-F,Comfortable,Std
MAC000233,2.7294958,0.61597466,0.056982853,0.2763508,0.2581377,2.7213595,2.749906,1.0104898,0.22567342,2,ACORN-Q,Adversity,Std
MAC000234,11.808305,3.6971784,0.24652696,0.8700962,0.3341824,11.885857,11.613761,0.9771076,0.31309983,1,ACORN-E,Affluent,Std
MAC000235,10.667651,14.923524,0.22490817,0.57485014,0.5266701,10.949177,9.9644575,0.9100645,1.3989513,1,ACORN-E,Affluent,Std
MAC000236,3.960167,0.8847944,0.082708605,0.33640924,0.2708298,4.0255127,3.7962434,0.943046,0.22342351,2,ACORN-Q,Adversity,ToU
MAC000237,27.679178,9.897571,0.5886854,2.3006518,0.29896644,26.142282,31.538193,1.2064055,0.3575818,0,ACORN-E,Affluent,Std
MAC000238,9.523503,3.6171677,0.19868158,0.9004902,0.24353994,8.799122,11.337556,1.2884872,0.37981483,2,ACORN-F,Comfortable,Std
MAC000239,7.4521155,1.0897768,0.15545341,0.6279366,0.26796857,7.4413686,7.47903,1.0050611,0.14623724,2,ACORN-H,Comfortable,Std
MAC000240,10.65523,3.976108,0.22233905,1.281634,0.21310157,10.444796,11.178097,1.0702074,0.37316024,1,ACORN-F,Comfortable,Std
MAC000241,9.326375,2.3849735,0.19469932,0.7683237,0.2678341,9.403738,9.132969,0.97120625,0.25572354,2,ACORN-G,Comfortable,Std
MAC000242,2.016839,1.8044513,0.042111084,0.27662805,0.27596372,1.9554352,2.1706111,1.11004,0.8946928,2,ACORN-E,Affluent,Std
MAC000243,13.480948,5.470735,0.2814321,1.2540257,0.2337725,11.977537,17.245901,1.4398537,0.40581232,1,ACORN-F,Comfortable,Std
MAC000244,7.183623,1.20162,0.1499748,0.40356952,0.43953508,7.2260685,7.077329,0.9794163,0.16727214,2,ACORN-F,Comfortable,Std
MAC000245,27.777391,10.463257,0.5798763,2.2914793,0.26473665,27.001194,29.721207,1.1007367,0.3766825,0,ACORN-L,Adversity,Std
MAC000246,16.816769,6.9924026,0.3506928,1.6435995,0.21768063,15.797322,19.365385,1.225865,0.4157994,1,ACORN-A,Affluent,Std
MAC000247,11.113032,3.0779018,0.23205751,0.8167143,0.33484975,10.856175,11.755171,1.0828096,0.27696326,1,ACORN-F,Comfortable,ToU
MAC000248,12.430993,3.9994614,0.2607285,1.6622149,0.22229047,12.410483,12.482265,1.005784,0.32173306,1,ACORN-F,Comfortable,Std
MAC000249,42.78818,15.317856,0.8925376,2.1682,0.42453983,42.45285,43.632717,1.0277925,0.35799268,0,ACORN-Q,Adversity,Std
MAC000250,7.1365423,3.2087893,0.14891177,0.62946033,0.29861674,6.5056067,8.713881,1.3394417,0.44962803,2,ACORN-G,Comfortable,Std
MAC000251,10.251924,3.539188,0.21396077,1.1681197,0.22590013,9.83609,11.291504,1.1479667,0.34522185,1,ACORN-H,Comfortable,Std
MAC000252,26.535505,15.031635,0.5546146,2.1560209,0.24701762,26.58311,26.416487,0.993732,0.56647253,0,ACORN-F,Comfortable,Std
MAC000253,11.885815,3.3032606,0.24811679,0.847757,0.32945287,10.857955,14.4554615,1.3313245,0.27791622,1,ACORN-E,Affluent,Std
MAC000254,11.410356,4.8438077,0.23838316,1.1549195,0.2172292,9.582228,15.980676,1.6677412,0.4245098,1,ACORN-H,Comfortable,Std
MAC000255,17.26342,3.077051,0.36011854,1.2714798,0.31284717,16.857944,18.277113,1.0841839,0.17824109,1,ACORN-K,Adversity,Std
MAC000256,24.955103,10.355464,0.5204944,1.2934003,0.4115063,24.52217,26.046764,1.0621722,0.41496378,0,ACORN-L,Adversity,Std
MAC000257,25.529003,8.382054,0.53317577,1.174497,0.4850585,25.320574,26.054565,1.028988,0.32833457,0,ACORN-E,Affluent,ToU
MAC000258,8.133418,1.420658,0.16963883,1.2331028,0.14584784,8.035323,8.380772,1.0429913,0.17466925,2,ACORN-K,Adversity,Std
MAC000259,10.8697605,3.4914818,0.22689758,0.92543995,0.26609728,10.314685,12.267021,1.1892774,0.32121056,1,ACORN-H,Comfortable,ToU
MAC000260,7.2838116,7.54285,0.1519293,0.46098286,0.5054949,7.415978,6.950547,0.93723947,1.0355636,2,ACORN-G,Comfortable,Std
MAC000261,7.3730216,1.5333028,0.15384938,0.52053,0.3354275,7.357116,7.413129,1.0076134,0.20796125,2,ACORN-F,Comfortable,ToU
MAC000262,17.014898,5.1287556,0.3551285,0.9941885,0.3974782,16.961334,17.149961,1.011121,0.30142733,1,ACORN-F,Comfortable,Std
MAC000263,4.591147,0.83168674,0.095928214,0.3376536,0.34197173,4.5128736,4.7885175,1.0610795,0.18115011,2,ACORN-E,Affluent,Std
MAC000264,8.590687,2.1496706,0.17938438,0.4119278,0.46087405,8.486036,8.854569,1.0434282,0.2502327,2,ACORN-E,Affluent,Std
MAC000265,8.155709,2.7810082,0.17061049,0.41410038,0.42879894,7.9966645,8.55675,1.0700399,0.34098914,2,ACORN-F,Comfortable,ToU
